,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,playlist_name,duration_s
0,Kendrick Lamar,To Pimp A Butterfly,How Much A Dollar Cost,4tQcyj5488alHT1ZgFduzn,0.624,0.729,1,-4.747,1,0.198,0,0.135,0.334,87.948,261747,4,0.415,60.0,Black,261.747
1,Isaiah Rashad,Cilvia Demo,Cilvia Demo,2bXNVNDdYvAXxf5f33WHy7,0.602,0.716,8,-5.079,1,0.23,0,0.32,0.576,83.022,183031,4,0.689,48.0,Black,183.031
2,Isaiah Rashad,Smile,Smile,3UNoPBNWST9mQleI5T53zL,0.783,0.563,2,-8.132,1,0.276,0,0.392,0.517,132.155,203372,4,0.537,58.0,Black,203.372
3,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),LVL,4dz4nfY5LeFUR99uspA5e6,0.613,0.427,5,-6.717,0,0.0585,1.61e-05,0.122,0.0945,119.899,220133,4,0.202,0.0,Black,220.133
4,Post Malone,rockstar,rockstar,1OmcAT5Y8eg5bUPv9qJT4R,0.58,0.531,5,-6.631,0,0.0776,0.000127,0.143,0.141,159.786,218320,4,0.128,0.0,Black,218.32
5,Gorillaz,Demon Days,November Has Come,6lrDckuosGpwEHtm1hHBcf,0.702,0.567,7,-8.561,1,0.239,2.75e-05,0.0864,0.667,84.153,165093,4,0.0815,61.0,Black,165.093
6,JID,The Never Story,NEVER,7hsulgRNgbyczeAg8tChCB,0.594,0.645,1,-7.45,1,0.315,1.66e-05,0.0668,0.205,103.974,241682,4,0.0287,63.0,Black,241.682
7,A$AP Twelvyy,12,A Glorious Death (feat. Flatbush ZOMBiES),7z7cVLaaSflYWIlkgPrUGA,0.694,0.595,10,-5.926,0,0.298,4.52e-06,0.0628,0.138,119.859,225200,4,0.083,46.0,Black,225.2
8,A$AP Mob,Cozy Tapes Vol. 2: Too Cozy,"Perry Aye (feat. A$AP Rocky, A$AP Nast, Playboi Carti & Jaden Smith)",0PDwNx6GrHc5sRVy6Hc7GP,0.919,0.535,5,-5.944,0,0.093,0,0.102,0.197,117.957,146427,4,0.0483,52.0,Black,146.427
9,A$AP Rocky,AT.LONG.LAST.A$AP,Excuse Me,3I8MbKRkS2IBDuslhCS3iT,0.653,0.71,8,-8.444,1,0.0555,0,0.143,0.41,122.04,238053,4,0.33,64.0,Black,238.053
10,Rae Sremmurd,T’d Up,T'd Up,2Bv0MbaqYx2IrQa7Z6xBT0,0.829,0.575,8,-6.667,1,0.107,2.42e-06,0.17,0.114,151.972,232863,4,0.00468,0.0,Black,232.863
11,Rae Sremmurd,Perplexing Pegasus,Perplexing Pegasus,2nYwV62UABTH0NanrwVIdQ,0.897,0.448,1,-8.874,1,0.0766,1.17e-05,0.365,0.316,145.971,204787,4,0.000725,0.0,Black,204.787
