,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
0,Healy,$150 / roll widdit,$150 / roll widdit,2L9mXwt6vJ3FxVxf7jsGkd,0.665,0.409,0,-10.037,1,0.787,1.29e-05,0.0747,0.296,151.355,181368,4,49.0,Blue
1,Felly,This Shit Comes in Waves,This Shit Comes in Waves,52Cs7GrUOMuaS7wS0jmqnU,0.944,0.47,10,-11.598,0,0.182,1.33e-06,0.0777,0.93,129.978,169885,4,0.0,Blue
2,Rexx Life Raj,Father Figure,Handheld GPS,677ai1ZuIvkr13W5vSR9wn,0.805,0.606,9,-7.679,0,0.267,0.0,0.145,0.513,123.942,133198,4,55.0,Blue
3,Healy,LFTM (feat. Felly),LFTM (feat. Felly),6AIAcVlHaBMqhKxFSFpq3M,0.406,0.82,6,-4.897,1,0.34,0.000697,0.329,0.744,68.041,251400,4,0.0,Blue
4,SiR,Her Too,W$ Boi,4iNnY19aLOa753mW4nnqof,0.549,0.361,5,-16.629,0,0.08,0.0,0.0592,0.147,100.127,192052,4,26.0,Blue
5,FKJ,Skyline,Skyline,4UNoouFjhlmatlWgXP4DhS,0.522,0.473,7,-9.26,0,0.0764,0.0179,0.0919,0.195,148.056,249650,4,35.0,Blue
6,Chaz Bundick Meets The Mattson 2,Star Stuff,JBS,2z4JYKZDLlFziglbMBKce0,0.326,0.699,4,-6.187,0,0.0322,0.546,0.0993,0.348,89.981,402994,4,19.0,Blue
7,Travis Bretzer,Bitter Suites,Misty Morning,5ZaQW8tvH33GVJ0E3sLz2w,0.696,0.299,7,-11.433,1,0.0354,0.00014,0.131,0.223,143.188,156958,4,48.0,Blue
8,Sol,The Headspace Traveler,Young Love (feat. Otieno Terry & Ariana De Boo),1Ycza1iz4pNxXoFnKIUKVg,0.77,0.41,3,-11.818,1,0.391,2.41e-06,0.117,0.312,95.146,230787,4,42.0,Blue
9,Yuri Joness,Same Dude,Same Dude,2Tjkh2cGBp5hGOrT7epiTf,0.767,0.466,4,-11.596,0,0.163,8.71e-05,0.142,0.174,76.487,179974,4,0.0,Blue
10,Noname,Telefone,Diddy Bop (feat. Cam O'bi & Raury),6JvfBzqZmSiEG5MjM7OcSY,0.637,0.503,1,-6.927,1,0.336,0.000113,0.109,0.661,81.061,208000,4,61.0,Blue
11,Isaiah Rashad,Nelly,Nelly,5VPFATm85G3P04Q5g8yxqr,0.901,0.364,11,-7.183,0,0.198,0.0,0.106,0.777,122.064,200656,4,46.0,Blue
12,COIN,Malibu 1992,Malibu 1992,0VGyn5TrmY6oq05Ynj63Hz,0.55,0.323,6,-7.769,1,0.0422,0.0767,0.142,0.504,147.47,341333,4,40.0,Blue
13,The Lagoons,California,California,35QAUfIbfIXT3p3cWhaKxZ,0.786,0.686,4,-7.18,1,0.0289,0.668,0.0416,0.542,119.997,261773,4,59.0,Blue
