,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
0,Cannons,Shadows,Fire for You,4o0LyB69tylqDG6eTGhmig,0.737,0.678,6,-7.011,0,0.0962,0.157,0.123,0.698,102.051,231826,4,73.0,golden hour
1,BAYNK,Someone’s EP II X,go with u - Louis La Roche Remix,5FxcDJENpjWY6lL9CnbHgc,0.751,0.501,1,-7.529,0,0.0588,0.011,0.111,0.3,111.987,266289,4,62.0,golden hour
2,Joji,Nectar,Your Man,6Vgtvd7I5yopJdBuxqjBd2,0.785,0.818,7,-8.711,1,0.099,0.149,0.149,0.0503,117.98,163759,4,64.0,golden hour
3,L'Impératrice,Odyssée - EP,Agitations tropicales,2La21GqU4fKTQLcfLxTeoz,0.76,0.401,1,-9.537,0,0.0674,0.259,0.0977,0.619,115.989,248892,4,63.0,golden hour
4,Wet,Old Bone (Jim-E Stack Remix),Old Bone - Jim-E Stack Remix,6YKLlLoEYRujlAH8SgkTge,0.755,0.593,5,-9.472,1,0.0484,0.504,0.097,0.501,93.002,207787,4,53.0,golden hour
5,GEO,It Never Rains,It Never Rains,67URyvNo0ymOlShJB9JclN,0.726,0.686,4,-6.752,1,0.0415,0.0794,0.165,0.369,103.065,149517,4,45.0,golden hour
6,The Knocks,Bodies,Bodies,5mueyPaJsGl0bGiZSu1z0e,0.584,0.599,11,-4.243,1,0.0342,0.0,0.0481,0.634,112.048,209293,4,62.0,golden hour
7,Mindchatter,I Can Change,I Can Change,4yhslVvynysGhexambPGcy,0.692,0.614,8,-9.1,1,0.0457,0.828,0.117,0.292,118.032,331525,4,50.0,golden hour
8,Poolside,Low Season,Kinda Lovely,3g3lqFthZ9yjNhcCjUDzFW,0.627,0.717,0,-6.706,1,0.0493,0.1,0.0821,0.82,166.019,237560,4,53.0,golden hour
9,NEIL FRANCES,Tuesday,Tuesday,6bWCYpcxs8nEV9Veixv1RU,0.642,0.916,2,-6.893,1,0.03,0.194,0.171,0.933,119.999,191253,4,54.0,golden hour
10,Photay,Waking Hours,Pressure,1T80qAVK3nXJAsEdnuppbp,0.676,0.71,1,-7.744,1,0.0372,0.47,0.26,0.348,104.975,318035,4,36.0,golden hour
11,Active Child,Cruel World (Jim-E Stack Remix),Cruel World - Jim-E Stack Remix,1xKNnjZkSyj2QbkqruJyCr,0.678,0.635,10,-7.102,0,0.0797,0.0176,0.288,0.3,89.853,192460,4,49.0,golden hour
12,TSHA,Sister,Sister,2StEq5J2bCq5JiwCKbansz,0.63,0.783,4,-7.35,1,0.0313,0.779,0.157,0.399,119.981,268829,4,54.0,golden hour
13,Godford,Non Binary Place,Dawntown,1CaOMLZXTQxif7TVD9ieSd,0.653,0.446,8,-16.131,1,0.0678,0.701,0.35,0.0387,114.982,188348,4,47.0,golden hour
14,Joey Pecoraro,Sea Monster,Kaleidoscope,54lEP2AiBdnVrqh49PoUqN,0.718,0.461,5,-11.511,1,0.0336,0.844,0.109,0.0384,106.965,226542,4,42.0,golden hour
15,Goth Babe,Canary Islands,Canary Islands,7MuU7UbVaKyu4HkHBoHwrD,0.577,0.683,1,-7.699,1,0.0523,0.00329,0.156,0.728,115.058,204522,4,62.0,golden hour
16,moanday,Blue Ceiling,Blue Ceiling,4TQd8QvI6SdxnBbdEILnXI,0.85,0.687,6,-8.967,0,0.0411,0.229,0.0816,0.797,109.995,166909,4,50.0,golden hour
17,Poolside,I'm In Love With You,I'm In Love With You,668AkXg9qeMsY8fivgpPxL,0.657,0.485,9,-9.552,1,0.0685,0.769,0.128,0.402,76.975,252600,4,53.0,golden hour
18,Arthur Moon,Infield (Young & Sick Remix),Infield (Young & Sick Remix),3xkMBk1wMJ3aEnWO0sSOW7,0.472,0.66,1,-10.941,0,0.0629,0.416,0.0717,0.0308,130.067,298231,4,41.0,golden hour
19,Yuno,Grapefruit - Single,Grapefruit,128Mqrtw03Mo3eR9bOwJsx,0.606,0.592,1,-9.709,1,0.0256,0.695,0.0966,0.0812,99.993,283213,4,0.0,golden hour
20,RAC,YOU,Feel You,2NHRH85fSwtAXmtQXwEAHV,0.481,0.553,0,-6.639,1,0.0314,0.0322,0.168,0.298,135.025,278467,4,47.0,golden hour
21,Washed Out,Time to Walk Away,Time to Walk Away,0ozdeuPnd24tukUW4fVfMj,0.55,0.865,6,-6.125,0,0.0383,0.0405,0.0765,0.469,102.014,255851,4,0.0,golden hour
