,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
0,Dispatch,"America, Location 12",Windylike,5wOD1GjxOE4ePx48BritEb,0.569,0.665,0,-6.55,1,0.0279,0,0.396,0.494,93.999,299960,4,27.0,Green
1,Joey Bada$$,ALL-AMERIKKKAN BADA$$,FOR MY PEOPLE,5URYXSFGks9Q8eYePlgVdL,0.672,0.704,11,-6.628,0,0.165,0,0.115,0.188,100.986,232765,4,0.0,Green
2,Kodak Black,Painting Pictures,Day for Day,6YOgXjBp1fLqnZfKLCNYhd,0.718,0.557,5,-8.227,1,0.379,0,0.0682,0.493,80.963,168312,4,20.0,Green
3,Kendrick Lamar,DAMN.,GOD.,5p3NP9mQblDsVJLdfNZJ3I,0.706,0.557,0,-5.8,1,0.0813,0,0.276,0.205,132.98,248827,4,61.0,Green
4,Cheers Elephant,Like Wind Blows Fire,Peoples,2C8Xjk2DrEywKBfBb7ITZK,0.639,0.767,4,-6.195,1,0.0366,9.66e-05,0.332,0.643,125.031,199373,4,36.0,Green
5,Tame Impala,InnerSpeaker (Collector's Edition),Sundown Syndrome,14VLdNJSXtMwiDpKGjvr9A,0.362,0.707,1,-4.784,0,0.0333,0.49,0.115,0.34,68.301,349334,4,0.0,Green
6,Sam Stan,Happy Raps,Happy Place,36hsrp4h4wKhzYcgAh6PpN,0.663,0.624,5,-5.733,0,0.227,0.00014,0.08,0.588,80.093,144039,4,36.0,Green
7,MF DOOM,MM...FOOD,Rapp Snitch Knishes feat. Mr. Fantastik,25kGNSv0yGXZKaC79xzrvg,0.728,0.832,7,-6.827,1,0.269,0,0.504,0.825,95.049,172893,4,0.0,Green
8,Woodie Smalls,Lucky Strike,Lucky Strike,1hxwW2ny6MdBjWP3rOHZMn,0.587,0.586,11,-9.149,0,0.149,2.1e-06,0.121,0.635,175.434,189600,4,34.0,Green
9,Blended Babies,Family (Blended Babies Remix) [feat. Chance the Rapper & Vic Mensa],Family (Blended Babies Remix) [feat. Chance the Rapper & Vic Mensa],6rktW7ir6seXSqBoMaoJih,0.667,0.637,9,-7.697,1,0.295,0,0.345,0.737,93.005,185966,4,39.0,Green
10,Frank Ocean,Blonde,Ivy,2ZWlPOoWh0626oTaHrnl2a,0.567,0.388,9,-9.579,0,0.0384,0.000309,0.248,0.452,116.362,249191,4,78.0,Green
11,Bas,Last Winter,My Nigga Just Made Bail,2pUrFLAbWbUqZnnSgJ2u5I,0.814,0.619,11,-7.82,0,0.218,0,0.0829,0.625,124.073,216907,4,56.0,Green
12,Peter Doherty,Hamburg Demonstrations,Kolly Kibber,4NwhdN21I3hLAbYLuLNmLc,0.537,0.504,7,-8.101,1,0.0296,2.24e-05,0.245,0.352,110.072,237810,4,27.0,Green
13,Dr. Dog,"Shame, Shame (Deluxe Edition)",Where'd All the Time Go?,0UV5zxRMz6AO4ZwUOZNIKI,0.454,0.82,2,-4.193,1,0.0567,0.000969,0.115,0.575,166.303,234800,4,78.0,Green
14,CASTLEBEAT,CASTLEBEAT,Rope,1E0qUJvzXVCwcnbtNnBF6I,0.511,0.858,4,-8.212,1,0.0332,0.531,0.164,0.608,159.969,237741,4,33.0,Green
15,Isaiah Rashad,Cilvia Demo,Heavenly Father,0qLt7pQhm8LDxFgI0YXdlY,0.608,0.676,1,-7.56,1,0.248,0,0.347,0.57,80.939,260632,4,61.0,Green
16,Jaden,SYRE,Icon,22nyEAEM29tcBRhukR089b,0.786,0.82,9,-5.093,0,0.232,0,0.575,0.49,119.982,220996,4,73.0,Green
17,Modest Mouse,Good News For People Who Love Bad News,Float On,2lwwrWVKdf3LR9lbbhnr6R,0.649,0.888,6,-4.807,1,0.0293,2.23e-06,0.0888,0.553,100.975,208467,4,72.0,Green
18,Death Cab for Cutie,Narrow Stairs,Grapevine Fires,1x3bxSSANgIxkoyGldhmdX,0.619,0.427,10,-10.737,1,0.04,0.00238,0.0823,0.436,61.75,247360,4,49.0,Green
19,Taylor Bennett,Minimum Wage,Minimum Wage,41iJtG6bvXqf12ZTiYy4cG,0.858,0.749,0,-6.574,1,0.319,0,0.0759,0.555,134.074,167610,4,29.0,Green
20,BROCKHAMPTON,ALL-AMERICAN TRASH,HOME,2anAr4t1wpiy2qBK9CGnyn,0.534,0.36,11,-12.942,0,0.0778,0.00158,0.382,0.387,153.985,302393,4,40.0,Green
21,Berhana,Berhana,Grey Luh,6I8M0qc0XP4Q5Ig8K16FWJ,0.543,0.298,0,-9.167,1,0.0683,1.49e-06,0.0804,0.254,125.523,261103,4,0.0,Green
22,Healy,Winse,Winse,0uPBYnoltG0oiZ2bOTy7iI,0.886,0.503,8,-7.189,1,0.0437,0.000692,0.104,0.55,106.024,256000,4,41.0,Green
23,Big Sean,I Decided.,Light,0URaKGzNTtzKRtsJN1RkA9,0.505,0.611,7,-5.976,0,0.0648,0,0.108,0.176,85.944,210507,4,47.0,Green
24,Unknown Mortal Orchestra,II (Deluxe Edition),So Good at Being in Trouble,0LPODKihyn7XCxFevkE3KY,0.829,0.435,0,-10.136,1,0.0515,0.878,0.119,0.594,103.816,230147,4,19.0,Green
25,Father John Misty,Pure Comedy,Total Entertainment Forever,10tS3AWz8aUWArbnxIrUL6,0.35,0.755,7,-5.905,0,0.053,8.73e-06,0.151,0.519,158.478,173893,4,0.0,Green
26,Gyyps,Darryl: A Mixtape by Gyyps,"Women, Weed & 808's",44ac8fgxDhIgOj6x2o8Bw7,0.84,0.349,0,-11.774,1,0.115,0,0.0881,0.162,125.028,233880,4,0.0,Green
27,Noname,Telefone,Sunny Duet (feat. the Mind),1ZEpge1j4gAi4R7pU9oor5,0.56,0.463,7,-9.601,1,0.421,0,0.128,0.896,155.711,162490,4,49.0,Green
28,Milky Chance,Cocoon,Cocoon,39bpQHvHkE0K7UUD2HL9oI,0.732,0.708,10,-5.978,1,0.0324,0.000161,0.0824,0.749,114.033,254013,4,0.0,Green
29,Sublime,Sublime Greatest Hits,Doin' Time,4mAqG6KNWZQiekSthr2QtL,0.711,0.724,7,-5.97,1,0.0851,3.81e-06,0.141,0.482,80.975,251120,4,0.0,Green
30,Khalid,Young Dumb & Broke REMIX (feat. Rae Sremmurd & Lil Yachty),Young Dumb & Broke REMIX (feat. Rae Sremmurd & Lil Yachty),6LxEtvMKSwmPdd5Fh1PCof,0.795,0.56,1,-5.773,1,0.0479,0,0.158,0.459,136.988,263277,4,52.0,Green
31,Donnie Trumpet & The Social Experiment,Surf,Sunday Candy,6fTdcGsjxlAD9PSkoPaLMX,0.511,0.596,0,-6.56,1,0.224,0,0.0798,0.554,158.063,226014,4,65.0,Green
32,Isaiah Rashad,The Sun's Tirade,Find a Topic (homies begged),17JA4HlieSH7TY3pQk21MJ,0.91,0.567,7,-5.208,1,0.0987,5.29e-05,0.498,0.545,130.999,166688,4,49.0,Green
33,Post Malone,Go Flex,Go Flex,3e7pB02vXiqVYaDTymYY1t,0.663,0.511,5,-8.229,1,0.105,0,0.0525,0.116,81.946,182000,4,0.0,Green
34,Drake,Nice For What,Nice For What,1cTZMwcBJT0Ka3UJPXOeeN,0.567,0.913,8,-6.471,1,0.0736,0.000124,0.114,0.792,93.35,210926,4,1.0,Green
35,Swae Lee,Guatemala (feat. Slim Jxmmi),Guatemala (feat. Slim Jxmmi) - From Swaecation,6sTDhYVVXU3HSDuG7mBLRU,0.849,0.699,4,-5.193,0,0.0574,0.00118,0.0954,0.0778,100.989,256341,4,0.0,Green
36,Action Bronson,Mr. Wonderful,Baby Blue (feat. Chance the Rapper),7gDwRzJhLs0fFHaGtMDJVM,0.828,0.487,6,-6.142,0,0.0343,1.86e-05,0.136,0.761,85.027,280160,4,64.0,Green
37,Aminé,Caroline,Caroline,5GFDrUTLGJix84sNhjCG0g,0.945,0.394,10,-8.571,1,0.492,0,0.131,0.743,120.058,209747,4,0.0,Green
38,Arctic Monkeys,Favourite Worst Nightmare,Fluorescent Adolescent,2x8evxqUlF0eRabbW2JBJd,0.654,0.828,1,-5.377,0,0.0281,0.000144,0.122,0.79,112.056,183893,4,76.0,Green
39,Bas,Too High To Riot,Clouds Never Get Old,4z3X794EXFeZLsaF7FEwTj,0.643,0.557,5,-5.412,0,0.308,0,0.394,0.327,136.393,188933,5,43.0,Green
40,Blur,13,Coffee & TV,5eSllZgRWCIJsDTAqFRwQw,0.743,0.743,2,-10.117,1,0.0367,0.233,0.0987,0.707,121.604,358773,4,65.0,Green
41,Brian Fresco,Higher (feat. Chance the Rapper & Blue Hawaii),Higher,4uWeGIum5DAZaoSLhIib3S,0.818,0.51,4,-8.085,0,0.157,2.21e-06,0.37,0.417,119.919,241807,4,20.0,Green
42,Calvin Harris,Funk Wav Bounces Vol.1,Prayers Up (feat. Travis Scott & A-Trak),4KaIJ1FWXUoAAnOts1YWjD,0.821,0.637,9,-4.276,0,0.161,0,0.209,0.778,86.01,204280,4,55.0,Green
43,Calvin Harris,Funk Wav Bounces Vol.1,"Holiday (feat. Snoop Dogg, John Legend & Takeoff)",08Wc3X7XNSyF8WYBPt2L8E,0.836,0.769,6,-2.334,0,0.0773,0.00157,0.0804,0.585,103.991,169693,4,49.0,Green
44,Calvin Harris,Rollin (feat. Future & Khalid),Rollin (feat. Future & Khalid),3FDrI0FLKzrYQiWxPhqV2W,0.754,0.762,6,-4.486,0,0.0849,6.67e-05,0.224,0.673,92.002,272667,4,64.0,Green
45,Calvin Harris,Slide (feat. Frank Ocean & Migos),Slide (feat. Frank Ocean & Migos),6gpcs5eMhJwax4mIfKDYQk,0.736,0.795,1,-3.299,0,0.0545,1.21e-06,0.254,0.511,104.066,230813,4,73.0,Green
46,Chance the Rapper,Coloring Book,No Problem (feat. Lil Wayne & 2 Chainz),0v9Wz8o0BT8DU38R4ddjeH,0.652,0.795,11,-5.192,0,0.174,0,0.123,0.788,135.018,304607,4,70.0,Green
47,Chance the Rapper,Coloring Book,Summer Friends (feat. Jeremih & Francis & The Lights),2fl0B0OaXjWbjHCQFx2O8W,0.693,0.426,8,-12.476,1,0.302,1.03e-05,0.115,0.477,144.796,290316,4,58.0,Green
48,Chance the Rapper,Coloring Book,Smoke Break (feat. Future),1Uq3IOIy1CUlHUgP6vWpum,0.705,0.453,3,-8.174,1,0.196,0,0.143,0.283,124.942,226494,4,60.0,Green
49,Cheers Elephant,Like Wind Blows Fire,Like Wind Blows Fire,24a8M5kbjckrYX37actmtV,0.486,0.789,2,-7.433,0,0.0402,3.8e-05,0.225,0.617,152.016,210467,4,14.0,Green
