,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,playlist_name,duration_s
0,Rex Orange County,Pony,It's Not The Same Anymore,7vRia9rlEuTDQxkfXIKySi,0.666,0.317,5,-10.644,1,0.0327,3.74e-05,0.111,0.359,117.676,386200,4,0.873,71.0,idk.,386.2
1,Sarcastic Sounds,change ur mind,change ur mind,58Mh6zmqSo9IvysPAXnG0h,0.627,0.575,4,-7.38,1,0.232,0.0,0.336,0.494,78.546,183451,4,0.78,63.0,idk.,183.451
2,EKKSTACY,i walk this earth all by myself,i walk this earth all by myself,5a8QUc4ubHJqQm7vzs2YhA,0.595,0.588,10,-11.313,1,0.0624,0.781,0.113,0.518,166.061,145634,4,0.507,67.0,idk.,145.634
3,brakence,argyle,argyle,5PlTDE2RLbcC9vBzbGAG4y,0.669,0.444,8,-8.021,0,0.0453,0.0,0.349,0.586,139.031,165333,4,0.412,64.0,idk.,165.333
4,Alexander 23,IDK You Yet,IDK You Yet,47EWMOElkkbMp5m9SBkx7d,0.629,0.306,1,-11.735,1,0.0424,0.0776,0.124,0.191,76.994,184638,1,0.884,4.0,idk.,184.638
5,Billie Eilish,Bored,Bored,04sN26COy28wTXYj3dMoiZ,0.614,0.318,7,-12.695,1,0.0478,0.00239,0.0795,0.112,119.959,180933,4,0.896,88.0,idk.,180.933
6,Field Medic,song i made up to stop myself from having a panic attack just now,song i made up to stop myself from having a panic attack just now (ft. rich),2oe9nMUPInGrfKu6fdZjH9,0.574,0.0523,3,-15.428,1,0.428,0.0,0.167,0.249,119.927,41125,5,0.903,29.0,idk.,41.125
7,Foster,fools (can't help falling in love) (feat. Sody),fools (can't help falling in love) (feat. Sody),4VEEDnEFLI9dUy5QA51rom,0.706,0.604,2,-6.932,1,0.303,0.0,0.242,0.361,82.03,165029,4,0.418,72.0,idk.,165.029
8,carolesdaughter,Violent,Violent,7CFfqRW50ffULvBv7lfIIg,0.797,0.755,2,-5.393,1,0.0293,2.26e-06,0.124,0.411,129.955,135878,4,0.331,75.0,idk.,135.878
9,Joji,Yeah Right,Yeah Right,2815rSBccLxZc67jEWBEvD,0.672,0.59,1,-9.574,1,0.129,0.236,0.0991,0.21,169.036,174358,4,0.624,0.0,idk.,174.358
10,gigi,Sometimes (Backwood),Sometimes (Backwood),5ysFFsqJFcsX8Rez67j2tv,0.41,0.174,3,-11.405,1,0.0328,0.00197,0.114,0.0694,105.292,153000,4,0.767,73.0,idk.,153.0
11,Ryan Woods,how i'm feeling,how i'm feeling,0Bo3X0RlboVKipzxpzwXfo,0.379,0.314,6,-9.05,1,0.0499,2.16e-06,0.127,0.165,134.032,171000,3,0.622,50.0,idk.,171.0
12,Sody,is your bedroom ceiling bored? (feat. Cavetown),is your bedroom ceiling bored? (feat. Cavetown),3ehrCQoouv7NW8LRgcMvRF,0.616,0.45,6,-9.832,1,0.114,1.58e-06,0.0926,0.195,123.851,207510,4,0.529,60.0,idk.,207.51
13,brakence,rosier,rosier,6ZUiIY6JQtDkrJggZ1OSQ7,0.572,0.257,11,-13.572,0,0.346,0.0,0.428,0.544,114.673,222493,4,0.65,50.0,idk.,222.493
14,badly,I'm Okay Now,I'm Okay Now,6xcfvAdi2nPQVRJG8eSHzE,0.627,0.548,2,-7.372,1,0.047,2.93e-05,0.315,0.509,101.078,182970,4,0.297,55.0,idk.,182.97
15,Christian Leave,Hope,Please Notice,36seMHoyXmLUNxcwzwjdF7,0.55,0.271,2,-8.451,1,0.0297,3.21e-06,0.107,0.198,111.344,116667,4,0.843,75.0,idk.,116.667
16,Ber,Meant To Be,Meant To Be,136J2Jkg8sG7P5wilO9P1R,0.5,0.156,1,-11.472,1,0.0469,0.0,0.125,0.405,173.794,163227,4,0.87,70.0,idk.,163.227
17,BERWYN,TAPE 2/FOMALHAUT,ANSWERS,6bm9OoERWQ8zfnIcN0pykg,0.539,0.396,10,-8.789,0,0.15,0.000267,0.127,0.659,99.349,245536,4,0.709,49.0,idk.,245.536
18,Powfu,tell me your feelings and i won't tell you mine,snowflake (feat. Jaden & Sarcastic Sounds),7KW1AtQKFToSoF1kmyk2wE,0.419,0.408,9,-10.899,0,0.25,0.0,0.35,0.502,62.829,187500,4,0.95,69.0,idk.,187.5
19,Conan Gray,Kid Krow,Heather,4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,5,-7.301,1,0.0333,0.0,0.322,0.27,102.078,198040,3,0.584,87.0,idk.,198.04
20,Gracie Abrams,minor,minor,1G9YZPtxUGfl1yVw7kq4yc,0.705,0.281,2,-7.991,1,0.0863,0.0,0.117,0.211,84.882,160507,4,0.856,57.0,idk.,160.507
