,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
0,THE ANXIETY,THE ANXIETY,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,0.773,0.47,2,-7.93,1,0.0299,0.000193,0.0851,0.399,94.995,162680,4,91.0,my life is a movie
1,Lorde,Pure Heroine (Extended),Ribs,0TEekvXTomKt3hdXDZxxeW,0.511,0.472,4,-9.277,1,0.091,0.614,0.11,0.0399,127.978,258969,4,73.0,my life is a movie
2,Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),Everybody Wants To Rule The World,4RvWPyQ5RL0ao9LPZeSouE,0.645,0.795,7,-12.095,1,0.0527,0.00389,0.104,0.535,112.067,251489,4,83.0,my life is a movie
3,Briston Maroney,Carnival,Freakin' Out On the Interstate,6Fqf0OTfB9VPfYk2HfBhPn,0.452,0.79,4,-5.01,1,0.0534,0.0,0.303,0.362,143.861,251906,4,64.0,my life is a movie
4,Empire of the Sun,Walking On A Dream (10th Anniversary Edition),Walking On A Dream,5r5cp9IpziiIsR6b93vcnQ,0.871,0.701,5,-5.594,0,0.0458,7.52e-06,0.0589,0.716,126.975,198440,4,78.0,my life is a movie
5,Phoebe Bridgers,Stranger in the Alps,Motion Sickness,6LxcPUqx6noURdA5qc4BAT,0.652,0.545,1,-9.021,1,0.0358,0.0428,0.0847,0.626,107.019,229760,4,46.0,my life is a movie
6,The Backseat Lovers,When We Were Friends,Kilby Girl,1170VohRSx6GwE6QDCHPPH,0.329,0.444,1,-9.973,1,0.0417,0.0352,0.113,0.225,162.279,282206,4,79.0,my life is a movie
7,Field Guide,You Were,You Were,7e4ZgRoo2aul0CDlLfIl1F,0.642,0.57,7,-12.557,1,0.0573,0.00856,0.0626,0.611,81.997,193747,4,0.0,my life is a movie
8,Electric Light Orchestra,Out of the Blue,Mr. Blue Sky,2RlgNHKcydI9sayD2Df2xp,0.388,0.338,10,-10.054,1,0.0329,3.73e-06,0.248,0.478,177.765,303373,4,80.0,my life is a movie
9,Vista Kicks,Twenty Something Nightmare,If I Didn't Have You,10UrwRvVbNsHiw1UGBiMjV,0.38,0.544,1,-9.754,0,0.0315,0.237,0.118,0.124,115.375,242493,4,57.0,my life is a movie
10,Mt. Joy,Rearrange Us,Strangers,3wcluZHyfuTzIXHfwXVAIE,0.564,0.636,7,-8.136,1,0.0418,0.0224,0.0807,0.218,101.913,193187,4,66.0,my life is a movie
11,Yoke Lore,Seeds,Seeds,7pJAND8bggxN2rEVYGpPfA,0.502,0.666,2,-8.319,1,0.0505,0.00638,0.0961,0.148,171.957,251269,4,39.0,my life is a movie
12,Peter McPoland,Romeo & Juliet,Romeo & Juliet,4AXS0kSzmuhAAYJtVKbZDq,0.312,0.479,0,-7.119,1,0.044,1.67e-05,0.503,0.0823,159.21,166137,4,68.0,my life is a movie
13,joe p,Off My Mind,Off My Mind,3X91uoqAVtHmqv1bvZbNog,0.57,0.688,0,-7.48,1,0.032,1.96e-05,0.151,0.749,111.993,213716,4,59.0,my life is a movie
14,Fitz and The Tantrums,Out of My League,Out of My League,5qEn8c0MBzyRKgQq91Vevi,0.545,0.968,9,-3.553,0,0.0853,0.00325,0.331,0.527,169.965,209386,4,66.0,my life is a movie
15,Ethan Tasch,Room,Room,0qyIfrncrrZQlx2jaffhYm,0.834,0.48,7,-9.227,1,0.0309,0.0518,0.141,0.67,114.034,210777,4,58.0,my life is a movie
16,carwash,striptease,striptease,2g0Bmi3kYEntusDP6xlAGZ,0.693,0.572,8,-8.89,1,0.0749,0.952,0.102,0.732,130.05,160659,4,72.0,my life is a movie
