,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,playlist_name,duration_s
0,SiR,November,Something Foreign,51HuSQ3lAnMuZiPu9YBJqN,0.598,0.621,10,-6.722,0,0.288,0,0.086,0.573,108.231,152532,4,0.637,53.0,Purple,152.532
1,Alex Wiley,Village Party 2: Heaven's Gate,Residual Effects,5f7M2DfjXzoRIiPJSRqb4X,0.655,0.458,8,-9.998,0,0.0356,0.223,0.51,0.102,115.993,272698,4,0.223,21.0,Purple,272.698
2,BROCKHAMPTON,SATURATION,FACE,5bknBRjKJZ643DAN2w8Yoy,0.945,0.702,11,-5.016,0,0.12,0.000538,0.0788,0.678,119.887,259000,4,0.591,67.0,Purple,259.0
3,Snakehips,All My Friends - EP,Dímelo,6Xi897JXNLSoIaoYZwgTLc,0.566,0.444,7,-12.069,0,0.147,0,0.158,0.161,146.991,193867,4,0.0522,54.0,Purple,193.867
4,Drake,Views,Feel No Ways,3cjF2OFRmip8spwZYQRKxP,0.582,0.677,7,-7.081,1,0.172,6.6e-06,0.122,0.205,193.818,240653,4,0.0312,72.0,Purple,240.653
5,Chuuwee,Amerikkas Most Blunted,Time,4TREKr6WMvxhnZG6zlTL0r,0.678,0.615,0,-7.662,1,0.446,0,0.133,0.0396,135.241,238446,4,0.152,42.0,Purple,238.446
6,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)","Sing About Me, I'm Dying Of Thirst",3q2v8QaTnHLveAQzR6gvYm,0.654,0.753,11,-7.556,0,0.395,8.08e-05,0.13,0.371,110.722,723573,5,0.303,62.0,Purple,723.573
7,alt-J,An Awesome Wave,Breezeblocks,3n69hLUdIsSa1WlRmjMZlW,0.616,0.656,5,-7.298,1,0.0344,0.000879,0.205,0.286,150.071,227080,4,0.096,73.0,Purple,227.08
8,Kendrick Lamar,DAMN.,XXX. FEAT. U2.,4iYRa2btalAzPZoSYfROqF,0.568,0.619,1,-6.899,1,0.414,1.67e-06,0.11,0.293,170.115,254200,4,0.138,67.0,Purple,254.2
9,Gorillaz,Demon Days,November Has Come,6lrDckuosGpwEHtm1hHBcf,0.702,0.567,7,-8.561,1,0.239,2.75e-05,0.0864,0.667,84.153,165093,4,0.0815,61.0,Purple,165.093
10,Kid Cudi,"Passion, Pain & Demon Slayin'",Baptized In Fire,6WSBZroxQaO3FYEpT2ACFH,0.673,0.61,4,-8.386,0,0.191,0.0177,0.116,0.759,152.062,285520,4,0.606,63.0,Purple,285.52
11,Pixies,Surfer Rosa (Remastered),Where Is My Mind?,6mcxQ1Y3uQRU0IHsvdNLH1,0.518,0.436,4,-14.134,1,0.0349,0.000621,0.079,0.27,80.88,236973,4,0.0157,4.0,Purple,236.973
12,Caleborate,1993,Kale,4niRrp39CygYumwRv2QnaV,0.713,0.758,5,-5.567,0,0.223,0,0.467,0.416,140.031,304335,4,0.0455,23.0,Purple,304.335
13,The Palms,Push Off,Push Off,3869c1bl5bJqdD3cyDw8hh,0.61,0.519,10,-6.819,0,0.0387,3.87e-06,0.109,0.193,78.006,230950,3,0.661,58.0,Purple,230.95
14,Kendrick Lamar,Black Panther The Album Music From And Inspired By,Bloody Waters (with Anderson .Paak & James Blake),4KXwFI9pgJLpUIAc9oSL8j,0.507,0.606,8,-8.758,1,0.452,0,0.174,0.202,180.607,272307,4,0.185,57.0,Purple,272.307
15,Drake,Nothing Was The Same (Deluxe),Pound Cake / Paris Morton Music 2,1HDaPtZuixue2q6VGNRdVO,0.521,0.762,2,-6.75,1,0.534,1.11e-05,0.114,0.264,164.289,433800,4,0.139,0.0,Purple,433.8
16,Drake,If You're Reading This It's Too Late,Jungle,7cTrekacPXjNTQuEJGN4Ee,0.69,0.235,7,-8.651,1,0.0541,0.000144,0.107,0.378,99.906,320400,4,0.618,0.0,Purple,320.4
17,Frank Ocean,Blonde,Nights,7eqoqGkKwgOaWNNHx90uEZ,0.466,0.548,5,-9.362,0,0.118,1.01e-06,0.113,0.423,89.815,307151,4,0.42,78.0,Purple,307.151
18,BROCKHAMPTON,SATURATION III,BLEACH,0dWOFwdXrbBUYqD9DLsoyK,0.595,0.657,1,-6.498,0,0.183,0.000597,0.437,0.718,156.093,273151,4,0.462,71.0,Purple,273.151
19,Death Cab for Cutie,Narrow Stairs,The Ice Is Getting Thinner,204974mkLcxFNtq6EXLsJx,0.362,0.138,0,-12.201,1,0.0421,0.000468,0.11,0.0752,79.425,225200,3,0.847,44.0,Purple,225.2
20,Death Cab for Cutie,Narrow Stairs,I Will Possess Your Heart - Radio Edit,18NiQTTgXClfhnYMPKUJZT,0.622,0.576,7,-10.019,1,0.0275,0.0248,0.0797,0.732,133.025,290293,4,0.373,41.0,Purple,290.293
21,Gabriel Garzón-Montano,Jardín,Fruitflies,4AyF3otW64PCw45b1ENW77,0.646,0.286,2,-12.361,1,0.038,2.01e-05,0.0325,0.158,77.161,330033,4,0.073,0.0,Purple,330.033
22,Anderson .Paak,Venice,Might Be,2WlOO5UM3eoEQt7Z2z3PU1,0.684,0.585,2,-7.601,1,0.0712,1.23e-06,0.728,0.335,148.507,237166,4,0.357,55.0,Purple,237.166
23,A$AP Rocky,AT.LONG.LAST.A$AP,L$D,4S7YHmlWwfwArgd8LfSPud,0.598,0.252,2,-15.086,1,0.0644,0.133,0.0992,0.0352,120.064,238307,4,0.194,76.0,Purple,238.307
24,KAYTRANADA,99.9%,GOT IT GOOD,2qUZliZ9NHUYIAZqRNe6pZ,0.606,0.503,7,-6.678,0,0.155,0,0.116,0.31,80.04,228147,4,0.0475,0.0,Purple,228.147
25,The Neighbourhood,I Love You.,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,0.612,0.807,10,-2.81,1,0.0336,0.0177,0.101,0.398,124.053,240400,4,0.0495,90.0,Purple,240.4
26,SiR,November,Something New,3DdBQIpZ8gx7Zph2uUyKry,0.572,0.642,3,-7.827,1,0.174,0.0114,0.468,0.377,74.767,229219,4,0.108,44.0,Purple,229.219
27,Death Cab for Cutie,Kintsugi,Black Sun,59FC22eN2Syt9bbv2d6393,0.608,0.642,2,-7.978,1,0.0251,0.0667,0.166,0.608,87.703,289160,4,0.17,53.0,Purple,289.16
28,J. Cole,2014 Forest Hills Drive,No Role Modelz,62vpWI1CHwFy7tMIcSStl8,0.692,0.521,10,-8.465,0,0.33,0,0.0565,0.463,100.45,292987,4,0.301,86.0,Purple,292.987
29,Red Hot Chili Peppers,Californication (Deluxe Edition),Road Trippin',1XxCiPw07rd1ytYnE7SoJI,0.243,0.47,4,-8.194,0,0.0353,0.000798,0.121,0.393,204.026,204973,4,0.309,62.0,Purple,204.973
30,Pink Floyd,Wish You Were Here,Wish You Were Here,6mFkJmJqdDVQ1REhVfGgd1,0.481,0.262,7,-15.73,1,0.0414,0.0114,0.832,0.375,122.861,334744,4,0.735,76.0,Purple,334.744
31,Red Hot Chili Peppers,Californication (Deluxe Edition),Californication,48UPSzbZjgc449aqz8bxox,0.592,0.767,9,-2.788,0,0.027,0.00165,0.127,0.328,96.483,329733,4,0.0021,81.0,Purple,329.733
32,The Head And The Heart,The Head and the Heart,Rivers and Roads,4Q6Kuze3wNMQRjamyBjHUR,0.494,0.194,0,-8.965,1,0.0352,2.98e-05,0.0803,0.161,135.753,284000,3,0.699,0.0,Purple,284.0
33,HOMESHAKE,Fresh Air,Wrapping Up,34VDU967NLUWPWibRQMpOj,0.816,0.301,7,-10.167,0,0.0741,0.153,0.114,0.107,134.955,227253,4,0.763,5.0,Purple,227.253
34,Isaiah Rashad,The Sun's Tirade,Tity and Dolla (feat. Hugh Augustine & Jay Rock),2NoKRHt8LVpnQMVl3TPwvu,0.717,0.602,0,-9.441,0,0.323,1.1e-05,0.0923,0.539,124.003,298035,4,0.324,55.0,Purple,298.035
35,Post Malone,Stoney (Deluxe),Broken Whiskey Glass,5BoOzegGrg5XFRR8UBDtkF,0.512,0.673,0,-7.359,1,0.0523,3.04e-06,0.126,0.11,99.84,233813,4,0.289,61.0,Purple,233.813
36,Cage The Elephant,Unpeeled,Sweetie Little Jean - Unpeeled,6tCFrID3KK6XbhdjZi5Dev,0.57,0.626,11,-3.356,0,0.0507,0,0.275,0.469,147.815,206160,4,0.128,41.0,Purple,206.16
37,Cage The Elephant,Tell Me I'm Pretty,How Are You True,6vcdiwrCVXnTLASFdjEV8r,0.493,0.461,11,-9.777,0,0.0336,0.000346,0.0985,0.288,140.034,280947,4,0.391,58.0,Purple,280.947
