,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Migos,Stir Fry,Stir Fry,4fndbjoz1qJyK6JcLdKfzm,0.813,0.808,2,-5.541,1,0.286,0,0.133,0.547,181.993,192132,4
1,Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)","King's Dead (with Kendrick Lamar, Future & James Blake)",51rXHuKN8Loc4sUlKPODgH,0.645,0.705,1,-5.008,1,0.299,0,0.128,0.376,137.133,229670,4
2,Famous Dex,Pick It Up (feat. A$AP Rocky),PICK IT UP (feat. A$AP Rocky),3ncgNpxLoBQ65ABk4djDyd,0.921,0.467,1,-8.443,1,0.119,0.000238,0.334,0.287,135.995,191252,4
3,BROCKHAMPTON,Dirt,Dirt,572txuyJBQsnfOX1rT4kRZ,0.556,0.602,11,-6.881,1,0.195,0,0.128,0.39,119.893,286750,4
4,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),1Train,7AijU6oTPGmG64uWf63Qvc,0.622,0.872,2,-3.403,1,0.332,0,0.695,0.768,83.568,372173,4
5,BROCKHAMPTON,SATURATION,STAR,1xfFPJdRjgDAaMcDgbXwyh,0.776,0.388,0,-9.143,1,0.282,0,0.394,0.294,75.01,161000,4
6,Rich The Kid,New Freezer (feat. Kendrick Lamar),New Freezer (feat. Kendrick Lamar),4pYZLpX23Vx8rwDpJCpPTA,0.888,0.664,0,-10.13,1,0.341,0,0.0734,0.53,140.012,193173,4
7,ScHoolboy Q,Yay Yay,Yay Yay,6n0KwBRfQX2O5CPAfdcD6a,0.788,0.642,9,-4.906,1,0.0451,0,0.0974,0.465,122.006,271773,4
8,Action Bronson,Blue Chips 7000,Let Me Breathe,1gPDkT8miqudaqE2Pmg6H9,0.647,0.693,1,-6.679,1,0.445,0,0.13,0.373,180.224,172639,4
9,Action Bronson,Mr. Wonderful,Actin Crazy,3clX2NMmjaAHmBjeTSa9vV,0.5,0.622,1,-7.282,1,0.619,0,0.116,0.252,165.503,239467,4
10,Action Bronson,Mr. Wonderful,Easy Rider,4AH8GJVosfrbfhe5NVTAnx,0.422,0.851,11,-4.031,1,0.0398,0,0.152,0.667,93.649,259301,4
11,2 Chainz,4 AM,4 AM,4r4PJQBHAE0bIKCjunhTgd,0.801,0.502,1,-7.169,1,0.408,0,0.153,0.215,75.019,255557,4
12,A$AP Ferg,ALWAYS STRIVE AND PROSPER,Let It Bang (feat. ScHoolboy Q),4yJ61FeTLi14BHzJXzurPi,0.887,0.535,5,-5.368,0,0.139,0,0.136,0.118,130.059,151307,4
13,A$AP Ferg,East Coast (feat. Remy Ma),East Coast (feat. Remy Ma),4D1aO0inbRZFsicPx9Jw3B,0.651,0.888,11,-3.298,0,0.304,0,0.285,0.176,134.383,260419,4
14,A$AP Ferg,Still Striving,Rubber Band Man (feat. Cam'ron),6YVbCxw3Yqyj4dRomrXPhl,0.652,0.905,1,-4.113,1,0.11,0.00346,0.109,0.265,156.051,205747,4
