,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
0,Her's,Marcel,Marcel,7BttFWHvQk5LCj2yOTDf8E,0.624,0.65,9,-5.993,1,0.0277,0.0748,0.334,0.655,106.99,187572,4,49.0,Surf Rock Sunshine
1,Briston Maroney,Freakin' Out On The Interstate (Acoustic Version [Live]),Freakin' Out On the Interstate,0awZwmlC6pxH65KTZpadmX,0.45,0.794,4,-5.015,1,0.0538,0.0,0.303,0.362,143.861,251906,4,73.0,Surf Rock Sunshine
2,Bakar,Hell N Back,Hell N Back,3NRql0A1Ef4RCvT473iqgD,0.584,0.684,10,-4.314,0,0.567,9.05e-05,0.112,0.72,210.164,213573,4,75.0,Surf Rock Sunshine
3,Peach Pit,You and Your Friends,Shampoo Bottles,2INUkDPCO1eQlOFmIN5VAC,0.648,0.436,8,-9.578,1,0.0275,0.0,0.0944,0.333,107.019,224267,4,67.0,Surf Rock Sunshine
4,Vacations,Vibes,Young,3OP8UeYimRl9HCNxMg7Ihl,0.498,0.81,7,-4.065,1,0.0263,0.00717,0.0635,0.594,79.935,189160,4,81.0,Surf Rock Sunshine
5,The Growlers,Chinese Fountain,Going Gets Tough,01MO5Ib9mCG7srUhZl52BA,0.5,0.766,8,-6.258,1,0.0327,0.0,0.109,0.738,162.058,208613,4,0.0,Surf Rock Sunshine
6,Mac DeMarco,Here Comes The Cowboy,Preoccupied,6N4WUdbz6HVKy6u6JX1KqK,0.813,0.212,8,-15.421,1,0.163,0.0725,0.123,0.482,159.062,239646,4,56.0,Surf Rock Sunshine
7,DOPE LEMON,Rose Pink Cadillac,Rose Pink Cadillac,3YC7FYhduZbYObLRCdhANa,0.746,0.804,1,-6.824,1,0.0338,0.00669,0.104,0.89,100.0,261912,4,66.0,Surf Rock Sunshine
8,The Beach Boys,Smiley Smile (Remastered),Good Vibrations - Remastered 2001,5t9KYe0Fhd5cW6UYT4qP8f,0.396,0.473,10,-7.67,0,0.0345,0.000124,0.109,0.385,133.449,219027,4,70.0,Surf Rock Sunshine
9,Babe Rainbow,The Babe Rainbow (AUS),Peace Blossom Boogy,5qNNanYonpCwahfJGuFVRQ,0.661,0.821,2,-4.565,1,0.0307,0.0333,0.105,0.86,112.011,194280,4,23.0,Surf Rock Sunshine
10,Still Woozy,Rocky,Rocky,5uDohC8URXwbGiHAMuKGoa,0.734,0.518,11,-9.514,0,0.0813,0.00282,0.111,0.555,101.083,166000,4,62.0,Surf Rock Sunshine
11,M.A.G.S.,M.A.G.S.,Drugs,7j0EnXOIyq4qedtko87r6f,0.577,0.845,10,-7.606,0,0.0351,2.77e-05,0.0814,0.692,115.088,134900,4,0.0,Surf Rock Sunshine
12,The Growlers,City Club,When You Were Made,0Dr7u3Dm8pwYe0aLZal1Xs,0.551,0.761,11,-5.279,1,0.029,0.0,0.235,0.385,116.098,218286,4,0.0,Surf Rock Sunshine
13,Beach Fossils,Down the Line,Down the Line,15eduSFXnQfnQvcmWHDBPi,0.614,0.743,7,-6.574,1,0.0401,0.00368,0.147,0.531,162.228,158474,4,20.0,Surf Rock Sunshine
14,Babe Rainbow,Something New,Something New,1roGQgXbwaKojyfEGPCk8D,0.631,0.597,11,-10.576,1,0.0276,0.0463,0.514,0.747,87.849,193251,4,0.0,Surf Rock Sunshine
15,iogi,the ceiling,delicate creature,5HON29JZvuzaHX2B2oIwr1,0.844,0.576,1,-6.406,1,0.0305,0.0906,0.068,0.873,95.011,272694,4,0.0,Surf Rock Sunshine
16,Worn-Tin,Summer Mixtape,Bitter,2NjepWsgyVUNZY2MtZSwKw,0.833,0.672,9,-5.899,1,0.0545,0.0,0.131,0.558,110.102,195000,4,49.0,Surf Rock Sunshine
17,Dominic Fike,What Could Possibly Go Wrong,Why,1xLs8Mu1QEVbGCpyHQ2r2U,0.684,0.856,6,-2.676,1,0.0411,0.00728,0.109,0.343,117.027,139907,4,67.0,Surf Rock Sunshine
18,Richard Swift,The Hex,Broken Finger Blues,0O2WHAJUeYcElqNz8g2Q1V,0.253,0.706,2,-5.762,0,0.0369,0.012,0.504,0.434,184.33,260783,3,22.0,Surf Rock Sunshine
19,Marlin's Dreaming,Lizard Tears,Mixed Up and Confused,1bFgm9PdCQeKsEpqOWn1II,0.464,0.422,4,-11.422,1,0.0315,0.0104,0.112,0.402,126.703,194152,4,50.0,Surf Rock Sunshine
20,Mac DeMarco,2,Freaking Out The Neighborhood,0MgOsVty0YR1kas7x16yoS,0.573,0.819,8,-5.735,0,0.0866,0.029,0.386,0.832,143.263,173867,4,55.0,Surf Rock Sunshine
21,The Drums,Portamento,Days,6113aOfHIC0vbZVDZ6PpRV,0.586,0.721,2,-7.743,1,0.0289,0.16,0.141,0.657,84.987,269082,4,50.0,Surf Rock Sunshine
22,Dehd,Lucky,Lucky,4r7cKo2Lp5sD6VcK1Gu3r4,0.637,0.722,7,-4.016,1,0.0292,0.0644,0.0742,0.302,130.632,153415,4,0.0,Surf Rock Sunshine
23,Arlie,Big Fat Mouth,Big Fat Mouth,2H57VA9OzK2NLmweUfJTdq,0.595,0.871,2,-5.972,1,0.053,2.14e-06,0.238,0.949,128.013,216983,4,0.0,Surf Rock Sunshine
24,Courtney Barnett,The Double Ep: A Sea of Split Peas,Avant Gardener,0U49QcRHyGfbmhhbNl92Q4,0.439,0.748,0,-4.51,1,0.0296,0.00298,0.117,0.739,115.124,312227,4,0.0,Surf Rock Sunshine
25,Goth Babe,Canary Islands,Canary Islands,7MuU7UbVaKyu4HkHBoHwrD,0.577,0.683,1,-7.699,1,0.0523,0.00329,0.156,0.728,115.058,204522,4,62.0,Surf Rock Sunshine
26,Mustard Service,Zest Pop,Taking Up Space,7i28aaEucsoEeEfZLHZHb1,0.658,0.463,9,-12.774,1,0.0359,0.00443,0.406,0.749,90.055,217600,4,53.0,Surf Rock Sunshine
27,Twin Shadow,Alemania,Alemania,5dkhXb9kA9TRhhC929wbkm,0.533,0.686,1,-5.686,0,0.069,5.2e-05,0.105,0.804,173.938,235920,4,53.0,Surf Rock Sunshine
28,Beach Fossils,Tangerine,Tangerine,5rpI91rFVNaK9ACHBIvvFO,0.246,0.742,2,-7.177,1,0.0415,0.00494,0.0452,0.491,168.034,194487,4,13.0,Surf Rock Sunshine
29,Allah-Las,Raspberry Jam,Raspberry Jam,3i2pAVmEzBgJIHtIMkNQBJ,0.563,0.623,9,-5.972,0,0.026,0.962,0.0886,0.653,100.032,228307,4,55.0,Surf Rock Sunshine
30,Sidney Gish,No Dogs Allowed,"Not but for You, Bunny",2J2kGyvyVyOKEJgBCPE1oO,0.795,0.415,0,-11.708,0,0.0883,0.0052,0.071,0.949,100.006,242144,4,46.0,Surf Rock Sunshine
31,TOLEDO,Hotstuff,Some Samurai,1bZcaDmkrz23KDP7U5xnWJ,0.469,0.68,6,-7.551,1,0.0321,1.52e-05,0.0744,0.5,126.119,294286,4,0.0,Surf Rock Sunshine
32,Sports,Naked All the Time,Panama,6JfqUlQHtbdWDi5o7bp6qd,0.615,0.724,5,-8.583,1,0.0306,0.459,0.211,0.449,97.728,198547,4,0.0,Surf Rock Sunshine
33,Sun Parade,Braindrain,Braindrain,4WZ5B7olkCaTcmymLflInK,0.47,0.704,7,-9.283,0,0.0433,0.71,0.358,0.741,151.661,183787,4,39.0,Surf Rock Sunshine
34,Geowulf,Saltwater,Saltwater,1zXpHPdBAUxnOCQqFMFLk3,0.551,0.825,2,-5.813,1,0.0306,0.307,0.115,0.686,107.031,247280,4,0.0,Surf Rock Sunshine
35,Del Water Gap,Better Than I Know Myself,Better Than I Know Myself,0xg79a3ac7iAOILS1QQbPa,0.571,0.691,3,-7.027,0,0.0312,0.0721,0.124,0.617,110.004,262511,4,48.0,Surf Rock Sunshine
36,The Shivas,You Know What to Do,You Make Me Wanna Die,3ymrocM8jJ2czu3JlznNyJ,0.723,0.551,5,-4.446,1,0.0365,0.00449,0.186,0.964,112.166,170507,4,0.0,Surf Rock Sunshine
37,The Growlers,Try Hard Fool,Try Hard Fool,2HMTLM3uA0NsOU1IkNufSj,0.503,0.825,10,-5.786,1,0.0323,0.000411,0.144,0.421,125.825,190581,4,46.0,Surf Rock Sunshine
38,Rolling Blackouts Coastal Fever,The French Press,French Press,3xuTjTxGkMVtxnHCAntxTs,0.393,0.915,2,-5.572,1,0.0592,0.0641,0.348,0.73,79.689,326807,4,0.0,Surf Rock Sunshine
39,Shannon & The Clams,Onion,The Boy,1WypLBcOgtNO0meaWKBkVQ,0.435,0.88,10,-5.248,0,0.0657,0.666,0.113,0.681,137.209,182787,4,49.0,Surf Rock Sunshine
40,Tennis,Yours Conditionally,In the Morning I'll Be Better,6d5faX65tSGFKcXsOJQRFi,0.343,0.607,0,-5.048,1,0.0357,0.00808,0.0824,0.599,155.579,213173,3,51.0,Surf Rock Sunshine
41,Turnover,Pure Devotion,Pure Devotion,6y9FOsVA7S57Qcx58qip9h,0.651,0.583,8,-8.769,1,0.0237,0.00342,0.109,0.72,87.459,231603,4,0.0,Surf Rock Sunshine
42,Good Morning,Country,Country,0Hlfo1A9sxNTPsk9QQXWb2,0.579,0.862,9,-6.551,1,0.033,0.0738,0.194,0.605,155.802,240547,4,43.0,Surf Rock Sunshine
