,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,playlist_name,duration_s
0,MEDUZA,Paradise,Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,0.632,0.595,8,-7.644,0,0.0401,0,0.209,0.435,124.114,167903,4,0.0689,83.0,Beast Mode,167.903
1,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,0.736,0.704,3,-7.409,0,0.0615,0,0.0501,0.894,149.995,212000,4,0.0203,96.0,Beast Mode,212.0
2,Post Malone,Motley Crew,Motley Crew,40uMIn2zJLAQhNXghRjBed,0.797,0.631,3,-3.818,0,0.0786,3.71e-06,0.0998,0.288,129.915,184213,4,0.0904,84.0,Beast Mode,184.213
3,Alesso,Going Dumb,Going Dumb,7arsXR8AtExnOFN3v3HiJI,0.834,0.678,6,-6.242,0,0.0515,0.263,0.103,0.551,121.995,168601,4,0.0546,72.0,Beast Mode,168.601
4,Dua Lipa,Levitating (feat. DaBaby),Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,0.702,0.825,6,-3.787,0,0.0601,0,0.0674,0.915,102.977,203064,4,0.00883,84.0,Beast Mode,203.064
5,Issam Alnajjar,Turning Me Up (Hadal Ahbek),Turning Me Up (Hadal Ahbek),4sofJiicQwKsRo3S1vpt39,0.744,0.816,11,-3.933,1,0.0372,8.51e-06,0.0902,0.748,120.062,144000,4,0.144,68.0,Beast Mode,144.0
6,Imanbek,Goodbye,Goodbye,4crczEC1PpoD8TsDsmoWNI,0.741,0.931,10,-3.447,0,0.0563,0.000102,0.191,0.517,125.011,144000,4,0.0225,75.0,Beast Mode,144.0
7,TELYKast,Nobody To Love (with Loren Gray),Nobody To Love (with Loren Gray),0SSIu4CcGITHdatDmjlA6H,0.734,0.823,9,-3.684,0,0.0853,0,0.0853,0.409,122.143,146373,4,0.0937,67.0,Beast Mode,146.373
8,Joel Corry,BED,BED,7jXQUrVhEpXdymfFWNDnQW,0.663,0.783,6,-4.585,1,0.0393,0.00179,0.325,0.622,123.986,178088,4,0.0134,66.0,Beast Mode,178.088
9,Travis Scott,Goosebumps (Remix),Goosebumps - Remix,5uEYRdEIh9Bo4fpjDd4Na9,0.841,0.593,1,-7.846,1,0.0379,0,0.124,0.808,124.917,162803,4,0.418,85.0,Beast Mode,162.803
10,Masked Wolf,Astronaut In The Ocean,Astronaut In The Ocean,3Ofmpyhv5UAQ70mENzB277,0.778,0.695,4,-6.865,0,0.0913,0,0.15,0.472,149.996,132780,4,0.175,84.0,Beast Mode,132.78
11,NOTD,Nobody,Nobody,7GiozRoMk95aFl1WbrDdjX,0.818,0.773,8,-5.714,0,0.0579,7.64e-06,0.377,0.878,122.016,143953,4,0.0166,69.0,Beast Mode,143.953
12,DJ Khaled,KHALED KHALED,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",20GrahbI4AzAOWxpYfDKkf,0.757,0.721,4,-2.906,0,0.0691,0,0.647,0.364,124.036,165366,4,0.00196,71.0,Beast Mode,165.366
13,Lil Nas X,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),3BZEcbdtXQSo7OrvKRJ6mb,0.61,0.508,8,-6.682,0,0.152,0,0.384,0.758,178.818,137876,4,0.297,18.0,Beast Mode,137.876
14,Alan Walker,Sweet Dreams,Sweet Dreams,4uDhts78RdwIDjEqPrYVKp,0.766,0.817,7,-4.253,1,0.035,2.49e-06,0.159,0.43,125.033,138819,4,0.0239,79.0,Beast Mode,138.819
15,Joel Corry,OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),6Dy1jexKYriXAVG6evyUTJ,0.787,0.833,8,-4.403,1,0.0478,0.00747,0.0374,0.796,123.97,162604,4,0.018,89.0,Beast Mode,162.604
16,Marshmello,Shockwave,Shockwave,3sOGVdj5VPY6C2XImtlzj7,0.577,0.875,9,-2.897,0,0.0681,4.69e-06,0.111,0.411,164.009,181283,4,0.0231,65.0,Beast Mode,181.283
17,Becky Hill,My Heart Goes (La Di Da) (feat. Topic),My Heart Goes (La Di Da) (feat. Topic),4xMbBESczlHPUO8QeYi56p,0.695,0.781,7,-5.578,0,0.0452,3.12e-05,0.295,0.456,124.04,148960,4,0.0185,82.0,Beast Mode,148.96
18,24kGoldn,Mood (feat. iann dior),Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,0.7,0.722,7,-3.558,0,0.0369,0,0.272,0.756,90.989,140526,4,0.221,21.0,Beast Mode,140.526
19,Alan Walker,Don't You Hold Me Down,Don't You Hold Me Down,0d1ujEcFwTqA4kWliTSJim,0.773,0.839,5,-4.046,1,0.0566,0.00797,0.132,0.303,123.975,132598,4,0.0276,75.0,Beast Mode,132.598
